Nombre,No_cel,Ponderado,Tratamiento
C6-WT,126875,1.000000,WT
C6-U1,126250,0.995074,eGFP
C6-DMSO,123125,0.970443,DMSO
C6-8-HQ 0.9 µM,68125,0.536946,0.9 µM 8-HQ
C6-U4,66875,0.527094,tGAS1
C6-Dual,50000,0.394089,tGAS1s+0.9 µM 8-HQ
C6-U5,47500,0.374384,tG1H
C6-WT,135625,1.000000,WT
C6-U1,133125,0.981567,eGFP
C6-DMSO,135000,0.995392,DMSO
C6-8-HQ 0.9 µM,76875,0.566820,0.9 µM 8-HQ
C6-U4,74375,0.548387,tGAS1
C6-Dual,59375,0.437788,tGAS1s+0.9 µM 8-HQ
C6-U5,55625,0.410138,tG1H
C6-WT,133750,1.000000,WT
C6-U1,133125,0.995327,eGFP
C6-DMSO,133125,0.995327,DMSO
C6-8-HQ 0.9 µM,78750,0.588785,0.9 µM 8-HQ
C6-U4,70625,0.528037,tGAS1
C6-Dual,53125,0.397196,tGAS1s+0.9 µM 8-HQ
C6-U5,50625,0.378505,tG1H
